,header,datetime,text,label
0,Facebook adds 'expert' feature to groups,14-07-21 21:02,"Admins in Facebook groups will have the power to designate ""experts"" from its members.",technology
1,Noisy appliances: How loud is your house?,31-05-21 8:56,Environmental consultancy Quiet Mark is on a mission to ensure technology is seen but barely heard.,technology
3,Google may cut pay of US staff working from home,11-08-21 22:39,The tech giant has developed a calculator that lets staff see the effects of remote working.,technology
4,Tencent shares slide after Beijing music crackdown,26-07-21 11:45,China's market watchdog said the technology giant broke the country's anti-competition rules.,technology
5,US bank set to offer crypto fund to rich clients,20-05-21 1:47,"Wells Fargo, America's third largest bank, said the service would be available for wealthy clients.",technology
7,Chloe Khan and Jodie Marsh rapped by watchdog,17-06-21 15:51,Lucy Mecklenburgh and Chloe Ferry were also named by the Advertising Standards Authority for failing to disclose ads.,technology
8,Man arrested for 'flying' dog with helium balloons,27-05-21 17:44,"He tied helium balloons to his dog and attempted to ""fly"" the pet to make a viral video.",technology
9,Apple chief executive Tim Cook gets $750m payout,27-08-21 10:16,The award of more than five million Apple shares comes as Mr Cook marks a decade as the firm's boss.,technology
10,Huawei revenue sees biggest ever fall,06-08-21 21:31,"Revenue from its consumer business, which includes phones, fell by nearly half.",technology
11,The Texas Chinese bitcoin gold rush,04-09-21 6:13,Beijing's crackdown on cryptocurrency sends bitcoin entrepreneurs moving to the wild wild west.,technology
12,Iranian hackers posed as British-based academic,13-07-21 16:07,A group in Iran pretended to be a British-based academic and compromised a London university website.,technology
13,Why is Huawei still in the UK?,17-05-21 23:43,"Huawei defends its links with British universities, says it admires UK innovation",technology
14,Image released in TikTok family house arson hunt,25-08-21 13:39,The Smithy Family's London home caught fire after their car was set alight.,technology
15,Covid vaccine stickers come to dating apps in UK,07-06-21 6:07,The optional badges will be displayable on dating profiles as part of a government collaboration.,technology
17,"Spyware used to target activists, leak suggests",19-07-21 20:14,Israeli tech firm NSO denies media reports that its software has been sold to authoritarian regimes.,technology
18,"Lil Nas X, Camila Cabello for Radio 1 Live Lounge",24-08-21 15:36,"Shawn Mendes, Bring Me The Horizon, Little Simz and Mimi Webb will also perform in September.",technology
19,Why small investors are piling into share-trading,29-06-21 6:49,"A boom in cheaper trading is tempting some inexperienced investors to take big risks, warn experts.",technology
20,Ofcom reveals online-safety head to tackle big tech,28-07-21 21:15,Anna-Sophie Harling will have responsibility over how big technology companies regulate harmful speech.,technology
21,AI to monitor Dorset social care patients,24-08-21 20:35,Data from sensors in patients' homes will be analysed to warn of health problems.,technology
22,Cost of council cyber-attack over-estimated,10-06-21 23:19,Redcar and Cleveland Council says the financial impact was lower than the predicted £10.4m.,technology
23,Cities' music scenes celebrated with virtual tour,31-05-21 13:59,Portishead feature in an app that brings Bristol and Bath's musical past to life.,technology
26,Overwatch to change McCree's name,27-08-21 20:16,Cowboy character Jesse McCree will be renamed after his namesake leaves Activision-Blizzard.,technology
28,Anti-5G campaigners fight on after legal setback,30-07-21 18:55,The case raises questions about crowdfunded legal actions as well as putting 5G in the spotlight.,technology
30,Israel-Palestinian conflict claims fact-checked,16-05-21 6:16,We examine false and misleading claims from both sides that have been shared widely on social media.,technology
31,"Theranos founder 'lied and cheated', trial hears",09-09-21 4:01,"Elizabeth Holmes pretended her blood-testing technology worked in order to enrich herself, prosecutors say.",technology
32,Nasa set for attempt to fix Hubble's trouble,15-07-21 5:22,A possible cause is identified for the Hubble telescope's worst glitch in years.,technology
33,"Former farmer, 84, is accidental ASMR YouTube star",14-06-21 6:02,,technology
35,Facebook accused of allowing sexist job advertising,09-09-21 6:24,An investigation by Global Witness suggests its algorithm is biased in choosing who sees which ads.,technology
36,"Online teaching to stay, say university leaders",01-07-21 19:10,"Students will learn better with parts of some courses taught online, vice-chancellors tell MPs.",technology
37,Why China's youth are 'lying flat' on the job,03-06-21 23:18,A new trend aims to highlight the pressure on younger people to find jobs and work longer shifts.,business
38,Children's internet code: What is it and how will it work?,01-09-21 21:55,The ICO's Children's Code will make technology companies reassess how they offer services to children.,technology
39,El Salvador plans to make Bitcoin legal tender,06-06-21 21:32,It would be the first country in the world to formally adopt the digital currency.,technology
40,US teen attacks abortion law in viral school speech,04-06-21 2:37,"Paxton Smith says she couldn't stick to her approved speech script ""when there is a war on my body"".",health
41,HSBC documents revealed in Huawei extradition battle,01-07-21 2:36,A twist comes in the lengthy case that has been a lightening rod for Sino-US and Canadian tensions.,technology
42,AI-driven robot Mayflower develops fault,19-06-21 18:12,"The crewless ship is returning to Plymouth after developing ""a minor mechanical issue"", bosses say.",technology
43,Bike lock emits stench and other anti-theft tech,04-06-21 16:21,,technology
44,Should we trust big tech with our health data?,15-07-21 6:03,Our medical records are in demand by tech firms who want to use the data to help tackle illnesses.,technology
45,Twitter tests safety mode feature to silence abuse,01-09-21 23:00,"Once enabled in settings, the new feature will automatically sniff out abusive tweets.",technology
